Serial_No,Lot,Temperature_Cold,Temperature_Hot,Pressure_Test,Clearance_mm
LOT-A-001,LOT-A,101.8853632028534,111.31586667095931,33.138656473315464,1.1907885752943057
LOT-A-002,LOT-A,91.31221038116287,100.56921247420561,28.768652276096866,1.2274306357261942
LOT-A-003,LOT-A,105.8028751196776,111.73410671502783,32.670579970420285,1.2340167505994626
LOT-A-004,LOT-A,107.8727725655691,115.01582471198206,33.70983131468632,1.3107629490691897
LOT-A-005,LOT-A,84.62486248227201,91.84656878682927,26.20395701020078,1.250005063585485
LOT-A-006,LOT-A,88.50022689478719,97.38215758405619,27.69276554425066,1.3755900985358358
LOT-A-007,LOT-A,103.38275557905115,109.87623418847835,30.706598432099053,1.183255311680995
LOT-A-008,LOT-A,99.25677369088463,105.79316245244573,30.599833093701204,1.1453248407815484
LOT-A-009,LOT-A,101.25674846230295,108.76367867559166,30.069988581857782,1.221708511553003
LOT-A-010,LOT-A,93.57122438594614,100.73463406247676,28.65071411097468,1.2437907039160423
LOT-A-011,LOT-A,106.6572177315923,115.90312352701979,34.35810055605433,1.096000493544122
LOT-A-012,LOT-A,105.86706008666707,115.07314716485102,33.16571919161347,1.2276851251207226
LOT-A-013,LOT-A,97.89316290677185,109.22649619435714,32.54563630128316,1.1579683157050318
LOT-A-014,LOT-A,110.31367167629155,117.08231358195803,33.74649871661765,1.1868260893577631
LOT-A-015,LOT-A,103.23839047948255,114.6393699064556,32.625547362375244,1.3539386963245967
LOT-A-016,LOT-A,94.89177813040064,101.45388647854799,30.264102312983805,1.276339589524298
LOT-A-017,LOT-A,104.19198853785558,110.59286486740338,31.967738597211962,1.2081545706019834
LOT-A-018,LOT-A,93.8133150952603,97.35864708260773,29.247851423878213,1.2385609365496904
LOT-A-019,LOT-A,108.78447305065916,117.09154858075738,34.635073673359486,1.2938464814683186
LOT-A-020,LOT-A,97.2425323286301,107.43473378328237,29.938577986678236,1.2189032094580234
LOT-A-021,LOT-A,100.787943741553,107.67785680076435,29.982396995544757,1.189176958013576
LOT-A-022,LOT-A,94.60173678408286,99.68364843758769,28.774382507960958,1.2687205682930747
LOT-A-023,LOT-A,111.51329876355229,119.7802801105925,32.19887091303312,1.2682620037418155
LOT-A-024,LOT-A,98.87181450329844,107.49264584567094,31.909734629790332,1.1262057033917154
LOT-A-025,LOT-A,95.68672228490848,105.48106026209747,28.67247148147234,1.3385569428832105
LOT-A-026,LOT-A,97.73546651514515,106.65073409546851,29.669953865571756,1.2988258213979726
LOT-A-027,LOT-A,105.86118081841035,113.06490740345528,32.50764749433126,1.2662205943569036
LOT-A-028,LOT-A,101.62853461780355,110.86237935562494,31.78428325366103,1.2730036318612097
LOT-A-029,LOT-A,104.80159726313335,109.44893760023253,31.923569652502387,1.3388873328595383
LOT-A-030,LOT-A,102.33118568084421,60.709079584756026,32.2302810409245,1.3006631114291192
LOT-A-031,LOT-A,117.15031989030469,129.16175645239477,36.99672123621196,1.3005092040134036
LOT-A-032,LOT-A,97.57985462090922,109.1438804591291,29.827961408273318,1.1297886624760092
LOT-A-033,LOT-A,98.3084397097034,102.65882395890827,29.81594238737701,1.3285730410916317
LOT-A-034,LOT-A,91.08642886242859,98.46570919972605,27.70082128425018,1.2023518225984746
LOT-A-035,LOT-A,105.58729028962945,114.37043789667783,32.74864831145007,1.165234046966458
LOT-A-036,LOT-A,105.56662318681818,117.86302777988928,33.422430459037145,1.2775631463029966
LOT-A-037,LOT-A,100.1413507780929,107.29197682997925,31.325516773316593,1.263752682446904
LOT-A-038,LOT-A,94.07384524270198,99.331701513304,28.772722806067762,1.2618065657994175
LOT-A-039,LOT-A,94.63494298759622,100.08899995197855,29.372220389671416,1.2340496724850774
LOT-A-040,LOT-A,105.02842905160541,115.28015977085357,31.01902181696193,1.1722116603155144
LOT-A-041,LOT-A,103.7227552734633,109.75448379950114,32.300658792460396,1.2949660339836644
LOT-A-042,LOT-A,103.9179080468677,113.08843304204059,33.218396582765514,1.3296611679360615
