Serial_No,Lot,Aircraft_Fuselage_Temp_0h,Aircraft_Fuselage_Temp_24h,Satellite_Sensor_Vib_0h,Satellite_Sensor_Vib_24h,Aircraft_Actuator_Press_0h,Aircraft_Actuator_Press_24h,Aircraft_Fuselage_Temp_24h_Max_Limit,Aircraft_Actuator_Press_24h_Min_Limit
LOT-A-001,LOT-A,22.167756135420465,20.76196333935013,0.8470553682395797,0.9727010958225344,209.0573908317626,204.37746130015822,40.0,170.0
LOT-B-002,LOT-B,25.87560895402958,22.516077364467098,0.7836047838431871,1.0705881343034402,217.38595507346753,219.61777948816518,40.0,170.0
LOT-C-003,LOT-C,25.21706503917462,46.0,1.027142617165879,1.0981479238141874,210.00327867477694,210.3290542880658,40.0,170.0
LOT-A-004,LOT-A,16.59499183784414,21.409495968799675,1.114555590726073,0.7177101646409467,205.17875954004234,144.5,40.0,170.0
LOT-B-005,LOT-B,23.036014070126384,25.59993044666202,0.6884611744806687,0.9555596280674179,217.73704788998418,195.5203376533702,40.0,170.0
LOT-C-006,LOT-C,21.92855935303344,26.081112488086152,1.0579807714497644,1.0201347804520213,186.4732745373726,206.7618231782732,40.0,170.0
LOT-A-007,LOT-A,22.695557018432243,21.913897981470534,0.8921473028182181,1.3508450786261947,208.06978332644852,198.78851408084614,40.0,170.0
LOT-B-008,LOT-B,22.43716113090743,21.900220544509196,0.8628302216042251,0.9386771972497268,216.96637097789542,210.25630317256224,40.0,170.0
LOT-C-009,LOT-C,19.837402368624794,22.247860808769975,0.9569337710760654,0.8891956919696488,220.34049419355458,215.3827175319704,40.0,170.0
LOT-A-010,LOT-A,20.21661691203009,23.107608558818637,1.1380529785226352,1.152823762464857,209.49355210964083,216.52731146391707,40.0,170.0
LOT-B-011,LOT-B,20.78704622938487,19.748653161704382,0.966518347237895,0.9820498451321726,214.62735733591515,207.76535787255608,40.0,170.0
LOT-C-012,LOT-C,22.586749484256867,21.525462240188247,0.9567910237315259,1.0583004827512759,209.47431078261195,215.7343852028152,40.0,170.0
LOT-A-013,LOT-A,18.81230346827858,21.006175279220308,1.073341657581464,1.1790175008389552,212.255368635551,207.01812874394753,40.0,170.0
LOT-B-014,LOT-B,19.71766283589838,23.19079434260311,0.993412624889949,0.7573674200311988,215.03008571147322,212.66133311053153,40.0,170.0
LOT-C-015,LOT-C,22.79355673399605,20.35769918118311,0.9650212121124659,0.755267670490287,223.39736235262455,209.28424288798888,40.0,170.0
LOT-A-016,LOT-A,19.905426783745348,25.05585379167264,1.0384812541119586,0.8654439116458429,229.83693752580822,198.4606456260606,40.0,170.0
LOT-B-017,LOT-B,22.564155030153962,24.746631520643096,0.6275193628035418,1.0801901879535019,209.41753666284532,207.85085220775625,40.0,170.0
LOT-C-018,LOT-C,20.061648674477503,46.0,0.7668258831773549,0.82410015621356,205.97036516941708,196.3403522080505,40.0,170.0
LOT-A-019,LOT-A,24.83091651577697,19.975435051371083,0.8094275468678503,0.9088729122517056,210.03213577846176,215.52714820885572,40.0,170.0
LOT-B-020,LOT-B,23.472945498360943,21.924568376508887,0.8539105671759052,0.9545540458937442,217.39829831501547,144.5,40.0,170.0
LOT-C-021,LOT-C,21.070540005457723,18.587515530430398,1.1571663520716222,1.073686631673185,212.36983262919694,211.23420369531982,40.0,170.0
LOT-A-022,LOT-A,21.061132771083933,20.597990035355018,0.8601023657354244,0.9210793455827899,204.37276192607868,194.1570614824601,40.0,170.0
LOT-B-023,LOT-B,21.437365184145715,23.595461787815236,0.8406127381033515,0.9528564258187739,191.36341501199507,206.02756353554062,40.0,170.0
LOT-C-024,LOT-C,21.780474894909837,20.170430364806823,0.6924558146376274,1.0035375287279353,202.71312909665545,212.6394697879251,40.0,170.0
LOT-A-025,LOT-A,21.243626477689574,23.684094106165556,0.8593445203912893,0.754139566347847,209.22180221943253,204.88148935720986,40.0,170.0
LOT-B-026,LOT-B,23.183268820371445,21.643878288685283,0.8528315093126868,1.0617841919990612,220.49679714495372,215.21471824372415,40.0,170.0
LOT-C-027,LOT-C,23.868022132095156,23.362992037250464,0.9924424744028497,1.0641731363792764,213.6338390215074,208.59786194412683,40.0,170.0
LOT-A-028,LOT-A,22.255879857679847,27.069219973088806,0.9016413636031273,0.919214938751744,206.72166287729448,207.68322595067875,40.0,170.0
LOT-B-029,LOT-B,22.43957563357952,20.350851526052363,0.6623318143912889,0.9883825302007031,195.545521645104,210.45782764467182,40.0,170.0
LOT-C-030,LOT-C,22.25311622911548,24.690522729126283,1.100423607655699,0.997797367956755,205.01449972524577,196.8395027707602,40.0,170.0
LOT-A-031,LOT-A,20.574819923795506,22.57595709375178,0.6516772167771792,0.9597818811109102,209.89148903181888,214.1222136057223,40.0,170.0
LOT-B-032,LOT-B,21.39768927123214,22.693891006853296,0.8116641949003246,0.8896761085544429,194.04089088431223,209.17457840933884,40.0,170.0
LOT-C-033,LOT-C,24.78773380148502,22.809007245477964,0.9439002795709331,0.8223880450775016,222.8816492908104,200.71337978621654,40.0,170.0
LOT-A-034,LOT-A,23.44319317113697,22.70393708331267,0.7849066714997547,1.0835335940010982,210.13841419837192,209.69785927164455,40.0,170.0
LOT-B-035,LOT-B,22.813852841779635,22.459137020927955,0.8545543372312925,1.010602481193456,206.35718466844992,208.62083903718474,40.0,170.0
LOT-C-036,LOT-C,20.79816832593877,19.668819388820204,0.8192191720007133,0.8856315613329793,210.1332668264211,219.251812347032,40.0,170.0
LOT-A-037,LOT-A,-42.759579886712274,22.744329458422943,0.6345688836305516,0.8140377612700115,205.43640046471626,186.59581882910553,40.0,170.0
